"id","lng","lat","name","road","road_id","url"
"170","-74.948833","40.0741","I-95 SB-EnterPR/Bart","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam002.jpg"
"171","-74.948833","40.0741","I-95 SB-Girard Ave","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam008.jpg"
"172","-74.948833","40.0741","I-95 SB-Packer/Front","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam005.jpg"
"173","-74.948833","40.0741","I-95 SB-Tasker/Reed","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam006.jpg"
"174","-74.948833","40.0741","I-95 Wash/Columbus","Interstate 95","i95","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam007.jpg"
"175","-75.3221","40.0753","I-476 SB SCHKL R BRDG","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam021.jpg"
"176","-75.361483","40.0762","I-76 EB Weadley Rd","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam094.jpg"
"177","-75.405633","40.0785","US 202 Ramp L @ Ramp O","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam071.jpg"
"178","-75.378117","40.079","I-76 EB W of Croton","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam093.jpg"
"179","-75.407017","40.0802","US 202 SB US 202/PA 422","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam043.jpg"
"180","-75.398317","40.0803","US 202 Ramp L @ Cont BL","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam072.jpg"
"181","-74.965667","40.0809","US 63 WB @ Millbrk Rd","Pennsylvania 63","pa63","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam092.jpg"
"182","-75.391483","40.0814","US 202 Ramp L @ 76","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam073.jpg"
"183","-75.3111","40.0831","I-476 NB N of Ridge PK","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam024.jpg"
"184","-75.3111","40.0831","I-476 NB Access Rd BRDG","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam022.jpg"
"185","-75.39735","40.0831","I-76 EB Ramp to US 202/422","Interstate 76","i76","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam074.jpg"
"186","-75.39425","40.0832","US 202 NB US 202/I/76","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam042.jpg"
"187","-75.38345","40.0877","US 202 @ Allendale","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam041.jpg"
"188","-75.16595","40.0879","PA 309 SB @ Easton Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam118.jpg"
"189","-75.4152","40.0903","US 422 EB-422 @ PA Turnpike","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam082.jpg"
"190","-75.36775","40.0933","US 202 @ Town CTR RD","U.S. 202","us202","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam040.jpg"
"191","-75.170761","40.0936","PA 309 NB @ Waverly Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam179.jpg"
"192","-75.30485","40.0946","I-476 SB S of Ridge PK","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam023.jpg"
"193","-75.29165","40.1002","I-476 SB @ Ridge Pike","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam208.jpg"
"194","-75.18587","40.1003","PA 309 NB S of Papermill Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam180.jpg"
"195","-75.4185","40.1014","US 422 WB-422@PA 23","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam083.jpg"
"196","-75.194405","40.102","PA 309 SB @ Papermill Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam181.jpg"
"197","-75.288651","40.1068","I-476 Ramp from Germantown Pike","Interstate 476","i476","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam209.jpg"
"198","-75.420017","40.113","US 422 WB-422 @ PA 363","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam084.jpg"
"199","-75.201346","40.1132","RT309 SB @ Church Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam182.jpg"
"200","-75.454883","40.1142","US 422 EB- 422 PWLNGS RD","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam086.jpg"
"201","-75.4311","40.1159","US 422 WB-422 W of PA 363","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam085.jpg"
"202","-75.204989","40.1235","RT309 SB S of Turnpike","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam183.jpg"
"203","-75.451083","40.1243","US 422 EB- 422 W of Perk","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam087.jpg"
"204","-75.201183","40.1334","PA 309 NB @PA Turnpike","Pennsylvania 309","pa309","http://www.dot.state.pa.us/penndot/districts/district6.nsf/TCamera119?openpage"
"205","-75.201183","40.1334","RT309 NB N of Turnpike","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam184.jpg"
"206","-75.446767","40.1348","US 422 WB-422 Egypt Rd","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam088.jpg"
"207","-75.46035","40.1478","US 422 EB-422 Indn Head","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam089.jpg"
"208","-75.4599","40.1505","US 422 WB-422 Cider Mil","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam090.jpg"
"209","-75.47","40.1568","US 422 WB-422 E of PA 29","U.S. 422","us422","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam091.jpg"
"210","-75.20125","40.1612","PA 309 NB @Susquehanna","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam120.jpg"
"211","-75.223067","40.1959","PA 309 NB @ Beth PK Mrg","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam121.jpg"
"212","-75.225004","40.2089","RT309 SB @ English Village","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam190.jpg"
"213","-75.229933","40.2184","RT309 SB N of Hartman Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam191.jpg"
"214","-75.234147","40.2257","RT309 NB @ Stump Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam192.jpg"
"215","-75.240034","40.2355","RT309 NB @ US 202","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam193.jpg"
"216","-75.242627","40.2397","RT309 SB @ North Wales Rd","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam194.jpg"
"217","-75.243835","40.2477","RT309 NB @ Five Points","Pennsylvania 309","pa309","http://www.dot35.state.pa.us/public/Districts/District6/WebCams/D6Cam195.jpg"
